,business_name,service_name,on,address,lat,lng,gu,dong,l_dong
8885,스테이지 바이 고디바,일반음식점,영업,서울특별시 강남구 신사동 648-11 제성씨티빌딩,37.5238855,127.0370395,강남구,신사,신사동
8886,게리슨,일반음식점,영업,서울특별시 강남구 신사동 661-13,37.5274908,127.0390198,강남구,신사,신사동
8887,보리이야기,일반음식점,영업,서울특별시 강남구 대치동 316 은마아파트,37.4974176,127.0653272,강남구,신사,신사동
8888,한표,일반음식점,영업,서울특별시 강남구 논현동 74-20,37.5174399,127.0302676,강남구,대치,대치동
8889,칠러(chiller),일반음식점,영업,서울특별시 강남구 논현동 220-12,37.5115913,127.0335361,강남구,논현,논현동
8890,뉴 플레이스 커피 압구정점,일반음식점,영업,서울특별시 강남구 신사동 662 남송빌딩,37.5274565,127.0382067,강남구,논현,논현동
8891,노을(noeul),일반음식점,영업,서울특별시 강남구 신사동 626-14,37.5238689,127.0313489,강남구,신사,신사동
8892,굿그릴,일반음식점,영업,서울특별시 강남구 논현동 220-17,37.5112482,127.0331455,강남구,신사,신사동
8893,구여사 푸드,일반음식점,영업,서울특별시 강남구 역삼동 711-6 역삼자이,37.4994269,127.0446982,강남구,논현,논현동
8894,다트플렉스 강남점,일반음식점,영업,서울특별시 강남구 논현동 164-14 원창빌딩,37.5079317,127.0236056,강남구,역삼,역삼2동
8895,얼짱,일반음식점,영업,서울특별시 강남구 논현동 162-17,37.508315,127.0245868,강남구,논현,논현동
