,brand,store,gu,dong,address_1,address_2,lat,lng
297,CU,논현경복점,강남구,논현동,서울특별시 강남구 봉은사로43길 14,서울특별시 강남구 봉은사로43길 14,37.51017179999999,127.0399169
298,CU,논현골드점,강남구,논현동,서울특별시 강남구 선릉로131길 9,서울특별시 강남구 선릉로131길 9,37.5174873,127.0400681
299,CU,논현광명점,강남구,논현동,서울특별시 강남구 강남대로 506 광명빌딩,서울특별시 강남구 강남대로 506 광명빌딩,37.5075072,127.0235049
300,CU,논현대승점,강남구,논현동,서울특별시 강남구 학동로43길 37,서울특별시 강남구 학동로43길 37,37.5185672,127.0376856
301,CU,논현동화점,강남구,논현동,서울특별시 강남구 학동로4길 15,서울특별시 강남구 학동로4길 15,37.5105327,127.0235227
302,CU,논현두산위브점,강남구,논현동,서울특별시 강남구 언주로122길 28 ME만남의집,서울특별시 강남구 언주로122길 28 ME만남의집,37.5119348,127.0380179
303,CU,논현선정릉점,강남구,논현동,서울특별시 강남구 봉은사로49길 7,서울특별시 강남구 봉은사로49길 7,37.5104078,127.0419456
304,CU,논현성덕점,강남구,논현동,서울특별시 강남구 강남대로114길 41 성덕빌딩 (논현동) 성덕빌딩,서울특별시 강남구 강남대로114길 41 성덕빌딩 (논현동) 성덕빌딩,37.51282,127.0278273
305,CU,논현성원점,강남구,논현동,서울특별시 강남구 선릉로115길 27,서울특별시 강남구 선릉로115길 27,37.5116623,127.04078
306,CU,논현세관사거리점,강남구,논현동,서울특별시 강남구 논현동 248-2번지,서울특별시 강남구 논현동 248-2번지,37.5147923,127.0363082
307,CU,논현세기점,강남구,논현동,서울특별시 강남구 학동로20길 33 (논현동),서울특별시 강남구 학동로20길 33 (논현동),37.5111267,127.0282024
308,CU,논현세원점,강남구,논현동,서울특별시 강남구 언주로125길 7,서울특별시 강남구 언주로125길 7,37.5129128,127.034619
309,CU,논현신우점,강남구,논현동,서울특별시 강남구 강남대로126길 26,서울특별시 강남구 강남대로126길 26,37.5097107,127.0246715
310,CU,논현역드림점,강남구,논현동,서울특별시 강남구 강남대로 570,서울특별시 강남구 강남대로 570,37.5128276,127.0209895
311,CU,논현영동점,강남구,논현동,서울특별시 강남구 도산대로12길 9,서울특별시 강남구 도산대로12길 9,37.5171087,127.0238901
312,CU,논현우람점,강남구,논현동,서울특별시 강남구 강남대로128길 81,서울특별시 강남구 강남대로128길 81,37.5125774,127.0280029
313,CU,논현윤진점,강남구,논현동,서울특별시 강남구 논현로119길 54,서울특별시 강남구 논현로119길 54,37.5081384,127.0291432
314,CU,논현제일점,강남구,논현동,서울특별시 강남구 봉은사로33길 6 (논현동),서울특별시 강남구 봉은사로33길 6 (논현동),37.5084546,127.0358894
